Sn,Task Name,Activity Type,Planned Start,Planned Finish,Actual Start,Actual Finish,PGMA,Parent WBS Level
3397,Fans (PG - 55 & 56) - BHEL BAP,SUP,2023-01-15,2024-12-24,,,PG55/56,1.9.9.6(Supply)
3398,AXL IDFAN FDN MATL(PGMA-55021),SUP,2023-01-15,2023-08-12,,,55021,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3399,Engineering,ENG,2023-01-15,2023-02-13,,,55021,1.9.9.6.1.1(AXL IDFAN FDN MATL(PGMA-55021))
3400,Manufacturing ,MFG,2023-02-14,2023-04-24,,,55021,1.9.9.6.1.1(AXL IDFAN FDN MATL(PGMA-55021))
3401,Dispatch,DIS,2023-04-25,2023-08-12,,,55021,1.9.9.6.1.1(AXL IDFAN FDN MATL(PGMA-55021))
3402, FD FAN FOUNDATION MATL(PGMA-55011),SUP,2023-02-04,2023-09-11,,,55011,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3403,Engineering,ENG,2023-02-04,2023-03-05,,,55011,1.9.9.6.1.2( FD FAN FOUNDATION MATL(PGMA-55011))
3404,Manufacturing ,MFG,2023-03-06,2023-05-24,,,55011,1.9.9.6.1.2( FD FAN FOUNDATION MATL(PGMA-55011))
3405,Dispatch,DIS,2023-05-25,2023-09-11,,,55011,1.9.9.6.1.2( FD FAN FOUNDATION MATL(PGMA-55011))
3406,PA FAN FOUNDATION MATL(PGMA-55031),SUP,2023-06-04,2024-02-08,,,55031,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3407,Engineering,ENG,2023-06-04,2023-07-03,,,55031,1.9.9.6.1.3(PA FAN FOUNDATION MATL(PGMA-55031))
3408,Manufacturing ,MFG,2023-07-04,2023-10-11,,,55031,1.9.9.6.1.3(PA FAN FOUNDATION MATL(PGMA-55031))
3409,Dispatch,DIS,2023-10-12,2024-02-08,,,55031,1.9.9.6.1.3(PA FAN FOUNDATION MATL(PGMA-55031))
3410,AXIAL IDFAN COUPLING(PGMA-55820),SUP,2023-11-21,2024-08-06,,,55820,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3411,Engineering,ENG,2023-11-21,2023-12-20,,,55820,1.9.9.6.1.4(AXIAL IDFAN COUPLING(PGMA-55820))
3412,Manufacturing ,MFG,2023-12-21,2024-03-29,,,55820,1.9.9.6.1.4(AXIAL IDFAN COUPLING(PGMA-55820))
3413,Dispatch,DIS,2024-03-30,2024-08-06,,,55820,1.9.9.6.1.4(AXIAL IDFAN COUPLING(PGMA-55820))
3414,1 STG ID rotor(PGMA-55216),SUP,2023-11-21,2024-08-06,,,55216,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3415,Engineering,ENG,2023-11-21,2023-12-20,,,55216,1.9.9.6.1.5(1 STG ID rotor(PGMA-55216))
3416,Manufacturing ,MFG,2023-12-21,2024-03-29,,,55216,1.9.9.6.1.5(1 STG ID rotor(PGMA-55216))
3417,Dispatch,DIS,2024-03-30,2024-08-06,,,55216,1.9.9.6.1.5(1 STG ID rotor(PGMA-55216))
3418,2 STG ID ROTOR(PGMA-55327),SUP,2024-01-10,2024-09-05,,,55327,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3419,Engineering,ENG,2024-01-10,2024-02-08,,,55327,1.9.9.6.1.6(2 STG ID ROTOR(PGMA-55327))
3420,Manufacturing ,MFG,2024-02-09,2024-05-18,,,55327,1.9.9.6.1.6(2 STG ID ROTOR(PGMA-55327))
3421,Dispatch,DIS,2024-05-19,2024-09-05,,,55327,1.9.9.6.1.6(2 STG ID ROTOR(PGMA-55327))
3422,SECOND STAGE ID HOUSING(PGMA-55627),SUP,2024-01-10,2024-09-05,,,55627,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3423,Engineering,ENG,2024-01-10,2024-02-08,,,55627,1.9.9.6.1.7(SECOND STAGE ID HOUSING(PGMA-55627))
3424,Manufacturing ,MFG,2024-02-09,2024-05-18,,,55627,1.9.9.6.1.7(SECOND STAGE ID HOUSING(PGMA-55627))
3425,Dispatch,DIS,2024-05-19,2024-09-05,,,55627,1.9.9.6.1.7(SECOND STAGE ID HOUSING(PGMA-55627))
3426,ID SEALING/COOLING FAN(PGMA-55024),SUP,2024-02-29,2024-10-05,,,55024,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3427,Engineering,ENG,2024-02-29,2024-03-29,,,55024,1.9.9.6.1.8(ID SEALING/COOLING FAN(PGMA-55024))
3428,Manufacturing ,MFG,2024-03-30,2024-07-07,,,55024,1.9.9.6.1.8(ID SEALING/COOLING FAN(PGMA-55024))
3429,Dispatch,DIS,2024-07-08,2024-10-05,,,55024,1.9.9.6.1.8(ID SEALING/COOLING FAN(PGMA-55024))
3430,AXIAL FDFAN COUPLING(PGMA-55810),SUP,2024-02-29,2024-10-05,,,55810,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3431,Engineering,ENG,2024-02-29,2024-03-29,,,55810,1.9.9.6.1.9(AXIAL FDFAN COUPLING(PGMA-55810))
3432,Manufacturing ,MFG,2024-03-30,2024-07-07,,,55810,1.9.9.6.1.9(AXIAL FDFAN COUPLING(PGMA-55810))
3433,Dispatch,DIS,2024-07-08,2024-10-05,,,55810,1.9.9.6.1.9(AXIAL FDFAN COUPLING(PGMA-55810))
3434,1 STG FD HOUSING (PGMA 55516),SUP,2024-02-29,2024-10-05,,,55516,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3435,Engineering,ENG,2024-02-29,2024-03-29,,,55516,1.9.9.6.1.10(1 STG FD HOUSING (PGMA 55516))
3436,Manufacturing ,MFG,2024-03-30,2024-07-07,,,55516,1.9.9.6.1.10(1 STG FD HOUSING (PGMA 55516))
3437,Dispatch,DIS,2024-07-08,2024-10-05,,,55516,1.9.9.6.1.10(1 STG FD HOUSING (PGMA 55516))
3438,FD FAN INSUL WOOL (PGMA 55919),SUP,2024-05-19,2024-12-24,,,55919,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3439,Engineering,ENG,2024-05-19,2024-06-17,,,55919,1.9.9.6.1.11(FD FAN INSUL WOOL (PGMA 55919))
3440,Manufacturing ,MFG,2024-06-18,2024-09-25,,,55919,1.9.9.6.1.11(FD FAN INSUL WOOL (PGMA 55919))
3441,Dispatch,DIS,2024-09-26,2024-12-24,,,55919,1.9.9.6.1.11(FD FAN INSUL WOOL (PGMA 55919))
3442,FD FAN COUPLING GUARD (PGMA 55015),SUP,2024-02-29,2024-10-05,,,55015,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3443,Engineering,ENG,2024-02-29,2024-03-29,,,55015,1.9.9.6.1.12(FD FAN COUPLING GUARD (PGMA 55015))
3444,Manufacturing ,MFG,2024-03-30,2024-07-07,,,55015,1.9.9.6.1.12(FD FAN COUPLING GUARD (PGMA 55015))
3445,Dispatch,DIS,2024-07-08,2024-10-05,,,55015,1.9.9.6.1.12(FD FAN COUPLING GUARD (PGMA 55015))
3446,FD SET & INDN SHAFT (PGMA 55410),SUP,2024-02-29,2024-10-05,,,55410,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3447,Engineering,ENG,2024-02-29,2024-03-29,,,55410,1.9.9.6.1.13(FD SET & INDN SHAFT (PGMA 55410))
3448,Manufacturing ,MFG,2024-03-30,2024-07-07,,,55410,1.9.9.6.1.13(FD SET & INDN SHAFT (PGMA 55410))
3449,Dispatch,DIS,2024-07-08,2024-10-05,,,55410,1.9.9.6.1.13(FD SET & INDN SHAFT (PGMA 55410))
3450,FD FAN EXPN JOINTS (PGMA 55510),SUP,2024-02-29,2024-10-05,,,55510,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3451,Engineering,ENG,2024-02-29,2024-03-29,,,55510,1.9.9.6.1.14(FD FAN EXPN JOINTS (PGMA 55510))
3452,Manufacturing ,MFG,2024-03-30,2024-07-07,,,55510,1.9.9.6.1.14(FD FAN EXPN JOINTS (PGMA 55510))
3453,Dispatch,DIS,2024-07-08,2024-10-05,,,55510,1.9.9.6.1.14(FD FAN EXPN JOINTS (PGMA 55510))
3454,FD FAN DIFFUSER (PGMA 55816),SUP,2024-02-29,2024-10-05,,,55816,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3455,Engineering,ENG,2024-02-29,2024-03-29,,,55816,1.9.9.6.1.15(FD FAN DIFFUSER (PGMA 55816))
3456,Manufacturing ,MFG,2024-03-30,2024-07-07,,,55816,1.9.9.6.1.15(FD FAN DIFFUSER (PGMA 55816))
3457,Dispatch,DIS,2024-07-08,2024-10-05,,,55816,1.9.9.6.1.15(FD FAN DIFFUSER (PGMA 55816))
3458,FD FAN SUCTION BOX (PGMA 55716),SUP,2024-02-29,2024-10-05,,,55716,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3459,Engineering,ENG,2024-02-29,2024-03-29,,,55716,1.9.9.6.1.16(FD FAN SUCTION BOX (PGMA 55716))
3460,Manufacturing ,MFG,2024-03-30,2024-07-07,,,55716,1.9.9.6.1.16(FD FAN SUCTION BOX (PGMA 55716))
3461,Dispatch,DIS,2024-07-08,2024-10-05,,,55716,1.9.9.6.1.16(FD FAN SUCTION BOX (PGMA 55716))
3462,AXIAL FDFAN SILENCER(PGMA-55911),SUP,2024-02-29,2024-10-05,,,55911,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3463,Engineering,ENG,2024-02-29,2024-03-29,,,55911,1.9.9.6.1.17(AXIAL FDFAN SILENCER(PGMA-55911))
3464,Manufacturing ,MFG,2024-03-30,2024-07-07,,,55911,1.9.9.6.1.17(AXIAL FDFAN SILENCER(PGMA-55911))
3465,Dispatch,DIS,2024-07-08,2024-10-05,,,55911,1.9.9.6.1.17(AXIAL FDFAN SILENCER(PGMA-55911))
3466,ID FAN C&I ITEMS(PGMA-55027),SUP,2024-02-29,2024-11-04,,,55027,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3467,Engineering,ENG,2024-02-29,2024-03-29,,,55027,1.9.9.6.1.18(ID FAN C&I ITEMS(PGMA-55027))
3468,Manufacturing ,MFG,2024-03-30,2024-07-07,,,55027,1.9.9.6.1.18(ID FAN C&I ITEMS(PGMA-55027))
3469,Dispatch,DIS,2024-07-08,2024-11-04,,,55027,1.9.9.6.1.18(ID FAN C&I ITEMS(PGMA-55027))
3470,ID FAN CPLNG GUARD (PGMA 55025),SUP,2024-02-29,2024-11-04,,,55025,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3471,Engineering,ENG,2024-02-29,2024-03-29,,,55025,1.9.9.6.1.19(ID FAN CPLNG GUARD (PGMA 55025))
3472,Manufacturing ,MFG,2024-03-30,2024-07-07,,,55025,1.9.9.6.1.19(ID FAN CPLNG GUARD (PGMA 55025))
3473,Dispatch,DIS,2024-07-08,2024-11-04,,,55025,1.9.9.6.1.19(ID FAN CPLNG GUARD (PGMA 55025))
3474,ID SET & INDN SHAFT (PGMA 55420),SUP,2024-02-29,2024-11-04,,,55420,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3475,Engineering,ENG,2024-02-29,2024-03-29,,,55420,1.9.9.6.1.20(ID SET & INDN SHAFT (PGMA 55420))
3476,Manufacturing ,MFG,2024-03-30,2024-07-07,,,55420,1.9.9.6.1.20(ID SET & INDN SHAFT (PGMA 55420))
3477,Dispatch,DIS,2024-07-08,2024-11-04,,,55420,1.9.9.6.1.20(ID SET & INDN SHAFT (PGMA 55420))
3478,ID FAN EXPN JOINTS (PGMA 55520),SUP,2024-02-29,2024-11-04,,,55520,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
